category_id,category_name,same_group,gid,path,cite_gid,cite_path,category,apply/cite
0,000_include_atmark,000_A,1000190513,../data/input/crop_train_apply_images/1000190513/1000190513.jpg,1000206440,../data/input/crop_train_cite_images/1000206440/1000206440.jpg,3,apply
0,000_include_atmark,000_A,1000777347,../data/input/crop_train_apply_images/1000777347/1000777347.jpg,1000257480,../data/input/crop_train_cite_images/1000257480/1000257480.jpg,3,apply
0,000_include_atmark,000_A,1000794118,../data/input/crop_train_apply_images/1000794118/1000794118.jpg,1000254632,../data/input/crop_train_cite_images/1000254632/1000254632.jpg,2,apply
0,000_include_atmark,000_A,1000801015,../data/input/crop_train_apply_images/1000801015/1000801015.jpg,1000257480,../data/input/crop_train_cite_images/1000257480/1000257480.jpg,3,apply
0,000_include_atmark,000_B,1000045117,../data/input/crop_train_apply_images/1000045117/1000045117.jpg,1000684100,../data/input/crop_train_cite_images/1000684100/1000684100.jpg,3,apply
0,000_include_atmark,000_B,1000128721,../data/input/crop_train_apply_images/1000128721/1000128721.jpg,1000025628,../data/input/crop_train_cite_images/1000025628/1000025628.jpg,3,apply
0,000_include_atmark,000_B,1000194406,../data/input/crop_train_apply_images/1000194406/1000194406.jpg,1000203930,../data/input/crop_train_cite_images/1000203930/1000203930.jpg,3,apply
0,000_include_atmark,000_B,1000789867,../data/input/crop_train_apply_images/1000789867/1000789867.jpg,1000833278,../data/input/crop_train_cite_images/1000833278/1000833278.jpg,2,apply
0,000_include_atmark,000_C,1000051275,../data/input/crop_train_apply_images/1000051275/1000051275.jpg,1000718004,../data/input/crop_train_cite_images/1000718004/1000718004.jpg,3,apply
0,000_include_atmark,000_C,1000347297,../data/input/crop_train_apply_images/1000347297/1000347297.jpg,1000325232,../data/input/crop_train_cite_images/1000325232/1000325232.jpg,3,apply
0,000_include_atmark,000_NA,1000564644,../data/input/crop_train_apply_images/1000564644/1000564644.jpg,1000793831,../data/input/crop_train_cite_images/1000793831/1000793831.jpg,4,apply
0,000_include_atmark,000_NB,1000848767,../data/input/crop_train_apply_images/1000848767/1000848767.jpg,1000272567,../data/input/crop_train_cite_images/1000272567/1000272567.jpg,2,apply
1,001_charcter,001_A,1000332578,../data/input/crop_train_apply_images/1000332578/1000332578.jpg,1000187967,../data/input/crop_train_cite_images/1000187967/1000187967.jpg,2,apply
1,001_charcter,001_A,1000360919,../data/input/crop_train_apply_images/1000360919/1000360919.jpg,1000833413,../data/input/crop_train_cite_images/1000833413/1000833413.jpg,3,apply
1,001_charcter,001_A,1000645584,../data/input/crop_train_apply_images/1000645584/1000645584.jpg,1000756347,../data/input/crop_train_cite_images/1000756347/1000756347.jpg,3,apply
1,001_charcter,001_A,1000835148,../data/input/crop_train_apply_images/1000835148/1000835148.jpg,1000833413,../data/input/crop_train_cite_images/1000833413/1000833413.jpg,3,apply
1,001_charcter,001_B,1000134770,../data/input/crop_train_apply_images/1000134770/1000134770.jpg,1000353108,../data/input/crop_train_cite_images/1000353108/1000353108.jpg,3,apply
1,001_charcter,001_B,1000340577,../data/input/crop_train_apply_images/1000340577/1000340577.jpg,1000353108,../data/input/crop_train_cite_images/1000353108/1000353108.jpg,3,apply
1,001_charcter,001_B,1000467644,../data/input/crop_train_apply_images/1000467644/1000467644.jpg,1000353108,../data/input/crop_train_cite_images/1000353108/1000353108.jpg,3,apply
1,001_charcter,001_C,1000108418,../data/input/crop_train_apply_images/1000108418/1000108418.jpg,1000613484,../data/input/crop_train_cite_images/1000613484/1000613484.jpg,3,apply
1,001_charcter,001_C,1000686009,../data/input/crop_train_apply_images/1000686009/1000686009.jpg,1000775858,../data/input/crop_train_cite_images/1000775858/1000775858.jpg,4,apply
1,001_charcter,001_C,1000738280,../data/input/crop_train_apply_images/1000738280/1000738280.jpg,1000775858,../data/input/crop_train_cite_images/1000775858/1000775858.jpg,4,apply
1,001_charcter,001_C,1000840151,../data/input/crop_train_apply_images/1000840151/1000840151.jpg,1000073560,../data/input/crop_train_cite_images/1000073560/1000073560.jpg,3,apply
1,001_charcter,001_D,1000386746,../data/input/crop_train_apply_images/1000386746/1000386746.jpg,1000070694,../data/input/crop_train_cite_images/1000070694/1000070694.jpg,5,apply
1,001_charcter,001_D,1000695322,../data/input/crop_train_apply_images/1000695322/1000695322.jpg,1000070694,../data/input/crop_train_cite_images/1000070694/1000070694.jpg,5,apply
1,001_charcter,001_D,1000844514,../data/input/crop_train_apply_images/1000844514/1000844514.jpg,1000070694,../data/input/crop_train_cite_images/1000070694/1000070694.jpg,4,apply
1,001_charcter,001_E,1000352346,../data/input/crop_train_apply_images/1000352346/1000352346.jpg,1000263698,../data/input/crop_train_cite_images/1000263698/1000263698.jpg,2,apply
1,001_charcter,001_E,1000611758,../data/input/crop_train_apply_images/1000611758/1000611758.jpg,1000352346,../data/input/crop_train_cite_images/1000352346/1000352346.jpg,2,apply
1,001_charcter,001_F,1000104313,../data/input/crop_train_apply_images/1000104313/1000104313.jpg,1000703451,../data/input/crop_train_cite_images/1000703451/1000703451.jpg,4,apply
1,001_charcter,001_F,1000233453,../data/input/crop_train_apply_images/1000233453/1000233453.jpg,1000703451,../data/input/crop_train_cite_images/1000703451/1000703451.jpg,4,apply
1,001_charcter,001_G,1000266804,../data/input/crop_train_apply_images/1000266804/1000266804.jpg,1000600383,../data/input/crop_train_cite_images/1000600383/1000600383.jpg,2,apply
1,001_charcter,001_G,1000400478,../data/input/crop_train_apply_images/1000400478/1000400478.jpg,1000600383,../data/input/crop_train_cite_images/1000600383/1000600383.jpg,2,apply
1,001_charcter,001_H,1000091075,../data/input/crop_train_apply_images/1000091075/1000091075.jpg,1000344372,../data/input/crop_train_cite_images/1000344372/1000344372.jpg,3,apply
1,001_charcter,001_H,1000626527,../data/input/crop_train_apply_images/1000626527/1000626527.jpg,1000344372,../data/input/crop_train_cite_images/1000344372/1000344372.jpg,3,apply
1,001_charcter,001_I,1000426548,../data/input/crop_train_apply_images/1000426548/1000426548.jpg,1000169190,../data/input/crop_train_cite_images/1000169190/1000169190.jpg,3,apply
1,001_charcter,001_I,1000482408,../data/input/crop_train_apply_images/1000482408/1000482408.jpg,1000169190,../data/input/crop_train_cite_images/1000169190/1000169190.jpg,2,apply
1,001_charcter,001_J,1000297731,../data/input/crop_train_apply_images/1000297731/1000297731.jpg,1000556582,../data/input/crop_train_cite_images/1000556582/1000556582.jpg,3,apply
1,001_charcter,001_J,1000824444,../data/input/crop_train_apply_images/1000824444/1000824444.jpg,1000369803,../data/input/crop_train_cite_images/1000369803/1000369803.jpg,2,apply
1,001_charcter,001_K,1000272207,../data/input/crop_train_apply_images/1000272207/1000272207.jpg,1000604636,../data/input/crop_train_cite_images/1000604636/1000604636.jpg,2,apply
1,001_charcter,001_K,1000482550,../data/input/crop_train_apply_images/1000482550/1000482550.jpg,1000701863,../data/input/crop_train_cite_images/1000701863/1000701863.jpg,2,apply
1,001_charcter,001_K,1000658495,../data/input/crop_train_apply_images/1000658495/1000658495.jpg,1000604636,../data/input/crop_train_cite_images/1000604636/1000604636.jpg,2,apply
1,001_charcter,001_L,1000179820,../data/input/crop_train_apply_images/1000179820/1000179820.jpg,1000419943,../data/input/crop_train_cite_images/1000419943/1000419943.jpg,3,apply
